anho,mes,ipc.dic.2008
1999,07,"55,77382"
1999,08,"56,04996"
1999,09,"56,23539"
1999,10,"56,43202"
1999,11,"56,70225"
1999,12,"57,00236"
2000,01,"57,73729"
2000,02,"59,06643"
2000,03,"60,07697"
2000,04,"60,67541"
2000,05,"60,9917"
2000,06,"60,97989"
2000,07,"60,9562"
2000,08,"61,1486"
2000,09,"61,40907"
2000,10,"61,50305"
2000,11,"61,70503"
2000,12,"61,98903"
2001,01,"62,64044"
2001,02,"63,82616"
2001,03,"64,77157"
2001,04,"65,51484"
2001,05,"65,78895"
2001,06,"65,81547"
2001,07,"65,88726"
2001,08,"66,05898"
2001,09,"66,30408"
2001,10,"66,42691"
2001,11,"66,50455"
2001,12,"66,72893"
2002,01,"67,26002"
2002,02,"68,1052"
2002,03,"68,58761"
2002,04,"69,21518"
2002,05,"69,62961"
2002,06,"69,9282"
2002,07,"69,944"
2002,08,"70,01001"
2002,09,"70,2622"
2002,10,"70,65505"
2002,11,"71,20492"
2002,12,"71,39513"
2003,01,"72,23341"
2003,02,"73,03558"
2003,03,"73,80035"
2003,04,"74,64728"
2003,05,"75,01296"
2003,06,"74,97195"
2003,07,"74,86465"
2003,08,"75,09591"
2003,09,"75,26122"
2003,10,"75,30658"
2003,11,"75,56889"
2003,12,"76,02913"
2004,01,"76,70288"
2004,02,"77,62288"
2004,03,"78,38691"
2004,04,"78,74445"
2004,05,"79,04433"
2004,06,"79,52133"
2004,07,"79,49675"
2004,08,"79,52074"
2004,09,"79,7563"
2004,10,"79,74837"
2004,11,"79,96987"
2004,12,"80,20885"
2005,01,"80,86822"
2005,02,"81,69507"
2005,03,"82,32699"
2005,04,"82,68815"
2005,05,"83,0254"
2005,06,"83,35831"
2005,07,"83,39888"
2005,08,"83,40016"
2005,09,"83,75696"
2005,10,"83,94967"
2005,11,"84,04563"
2005,12,"84,10291"
2006,01,"84,55834"
2006,02,"85,11449"
2006,03,"85,71228"
2006,04,"86,09607"
2006,05,"86,37832"
2006,06,"86,64117"
2006,07,"86,99909"
2006,08,"87,34044"
2006,09,"87,5904"
2006,10,"87,46374"
2006,11,"87,67102"
2006,12,"87,86896"
2007,01,"88,54252"
2007,02,"89,58025"
2007,03,"90,66685"
2007,04,"91,48253"
2007,05,"91,75661"
2007,06,"91,86894"
2007,07,"92,02048"
2007,08,"91,89765"
2007,09,"91,9743"
2007,10,"91,97976"
2007,11,"92,41584"
2007,12,"92,87228"
2008,01,"93,85245"
2008,02,"95,27039"
2008,03,"96,03972"
2008,04,"96,72265"
2008,05,"97,62382"
2008,06,"98,4655"
2008,07,"98,94005"
2008,08,"99,12932"
2008,09,"98,94017"
2008,10,"99,28265"
2008,11,"99,55967"
2008,12,100
2009,01,"100,58933"
2009,02,"101,43129"
2009,03,"101,93732"
2009,04,"102,26473"
2009,05,"102,27913"
2009,06,"102,22182"
2009,07,"102,18207"
2009,08,"102,22713"
2009,09,"102,11512"
2009,10,"101,98473"
2009,11,"101,91776"
2009,12,"102,00181"
2010,01,"102,70133"
2010,02,"103,55215"
2010,03,"103,81247"
2010,04,"104,29044"
2010,05,"104,39815"
2010,06,"104,51684"
2010,07,"104,47279"
2010,08,"104,59005"
2010,09,"104,44808"
2010,10,"104,35595"
2010,11,"104,55843"
2010,12,"105,23651"
2011,01,"106,19253"
2011,02,"106,83242"
2011,03,"107,12039"
2011,04,"107,24806"
2011,05,"107,55352"
2011,06,"107,89544"
2011,07,"108,04537"
2011,08,"108,01191"
2011,09,"108,3454"
2011,10,"108,551"
2011,11,"108,70205"
2011,12,"109,1574"
2012,01,"109,95503"
2012,02,"110,6266"
2012,03,"110,76164"
2012,04,"110,92154"
2012,05,"111,25436"
2012,06,"111,34646"
2012,07,"111,32241"
2012,08,"111,36807"
2012,09,"111,68694"
2012,10,"111,86942"
2012,11,"111,71648"
2012,12,"111,81576"
2013,01,"112,14896"
2013,02,"112,64705"
2013,03,"112,87881"
2013,04,"113,16432"
2013,05,"113,47973"
2013,06,"113,74622"
2013,07,"113,79727"
2013,08,"113,89218"
2013,09,"114,22579"
2013,10,"113,92928"
2013,11,"113,68292"
2013,12,"113,98254"
2014,01,"114,53678"
2014,02,"115,25924"
2014,03,"115,71358"
2014,04,"116,24321"
2014,05,"116,80555"
2014,06,"116,91441"
2014,07,"117,0913"
2014,08,"117,32919"
2014,09,"117,48858"
2014,10,"117,68219"
2014,11,"117,8373"
2014,12,"118,15166"
2015,01,"118,91289"
2015,02,"120,27993"
2015,03,"120,98456"
2015,04,"121,63437"
2015,05,"121,95433"
2015,06,"122,08236"
2015,07,"122,30851"
